Code,Ethnicity
154181004,Chinese
154224002,Chinese
186004002,Chinese
33897005,Chinese
92511000000107,Chinese - ethnic category 2001 census
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census
977751000000101,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census
976861000000105,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census
977761000000103,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census
978201000000106,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census
